Name - Transportation Industry,Code - Transportation Industry,Payment Terms,Minimum Order Quantity
CPU 3.4GHz i7-T,CPU34GHZI7-T,Net 50,50
CPU 3.8GHz i7-T,CPU38GHZI7-T,Net 50,50
RAM 32GB-T,RAM32GB-T,Net 50,50
Telecommuter Workstation-T,TELEWORKSTATION-T,Net 50,50
Home Automation Hub-T,HOMEAUTOMATIONHUB-T,Net 50,50
4K Video Camera-T,4KVIDEOCAM-T,Net 50,50
Smartwatch-T,SMARTWATCH-T,Net 50,50
Hard Drive 4TB-T,HDD4TB-T,Net 50,50
4 Port USB Hub-T,4PORTUSBHUB-T,Net 50,50
Smart Lightbulb-T,SMARTLIGHTBULB-T,Net 50,50
Smart Blinds-T,SMARTBLINDS-T,Net 50,50
Smart US Power Strip-T,SMARTUSPOWERSTRIP-T,Net 50,50
RAM 16GB-T,RAM16GB-T,Net 50,50
SSD Hard Drive 512GB-T,SSD512-T,Net 50,50
CPU 2.2GHz i7-T,CPU22GHZI7-T,Net 50,50
SSD Hard Drive 256GB-T,SSD256-T,Net 50,50
CPU 1.2GHz m5-T,CPU12GHZM5-T,Net 50,50
CPU 1.1GHz m3-T,CPU11GHZM3-T,Net 50,50
Mouse-T,MOUSE-T,Net 50,50
Laser Printer-T,LASERPRINTER-T,Net 50,50
WiFi Access Point-T,WIFIAP-T,Net 50,50
Keyboard US Layout-T,KEYBOARDUS-T,Net 50,50
Digital Camera-T,DIGITALCAMERA-T,Net 50,50
Printer High Capacity Tray-T,PRINTERHIGHCAPACITYTRAY-T,Net 50,50
GenWatt Diesel 1000kW-T,GC1060-T,Net 50,50
GenWatt Diesel 200kW-T,GC1040-T,Net 50,50
GenWatt Diesel 10kW-T,GC1020-T,Net 50,50
GenWatt Propane 500kW-T,GC3040-T,Net 50,50
GenWatt Propane 100kW-T,GC3020-T,Net 50,50
GenWatt Propane 1500kW-T,GC3060-T,Net 50,50
GenWatt Gasoline 750kW-T,GC5040-T,Net 50,50
GenWatt Gasoline 300kW-T,GC5020-T,Net 50,50
GenWatt Gasoline 2000kW-T,GC5060-T,Net 50,50
