Name - Energy Industry,Code - Energy Industry,Payment Terms,Minimum Order Quantity
Interior Camera-E,INTERIORCAMERA-E,Net 30,30
"15"" Laptop-E",LAPTOP15-E,Net 30,30
CPU 2.8GHz i7-E,CPU28GHZI7-E,Net 30,30
Interior Keypad-E,INTERIORKEYPAD-E,Net 30,30
Exterior Keypad-E,EXTERIORKEYPAD-E,Net 30,30
RFID Key Card Printer-E,RFIDKEYCARDPRINTER-E,Net 30,30
Electric Door Lock-E,ELECTRICDOORLOCK-E,Net 30,30
Door Sensor-E,DOORSENSOR-E,Net 30,30
Window Sensor-E,WINDOWSENSOR-E,Net 30,30
Optical Drive-E,OPTICALDRIVE-E,Net 30,30
NVMe Hard Drive 500GB-E,NVME500-E,Net 30,30
CPU 3.4GHz i7-E,CPU34GHZI7-E,Net 30,30
CPU 3.8GHz i7-E,CPU38GHZI7-E,Net 30,30
RAM 32GB-E,RAM32GB-E,Net 30,30
Telecommuter Workstation-E,TELEWORKSTATION-E,Net 30,30
Home Automation Hub-E,HOMEAUTOMATIONHUB-E,Net 30,30
4K Video Camera-E,4KVIDEOCAM-E,Net 30,30
Smartwatch-E,SMARTWATCH-E,Net 30,30
Hard Drive 4TB-E,HDD4TB-E,Net 30,30
4 Port USB Hub-E,4PORTUSBHUB-E,Net 30,30
Smart Lightbulb-E,SMARTLIGHTBULB-E,Net 30,30
Smart Blinds-E,SMARTBLINDS-E,Net 30,30
Smart US Power Strip-E,SMARTUSPOWERSTRIP-E,Net 30,30
RAM 16GB-E,RAM16GB-E,Net 30,30
SSD Hard Drive 512GB-E,SSD512-E,Net 30,30
CPU 2.2GHz i7-E,CPU22GHZI7-E,Net 30,30
SSD Hard Drive 256GB-E,SSD256-E,Net 30,30
CPU 1.2GHz m5-E,CPU12GHZM5-E,Net 30,30
CPU 1.1GHz m3-E,CPU11GHZM3-E,Net 30,30
Mouse-E,MOUSE-E,Net 30,30
Laser Printer-E,LASERPRINTER-E,Net 30,30
WiFi Access Point-E,WIFIAP-E,Net 30,30
Keyboard US Layout-E,KEYBOARDUS-E,Net 30,30
Digital Camera-E,DIGITALCAMERA-E,Net 30,30
Printer High Capacity Tray-E,PRINTERHIGHCAPACITYTRAY-E,Net 30,30
GenWatt Diesel 1000kW-E,GC1060-E,Net 30,30
GenWatt Diesel 200kW-E,GC1040-E,Net 30,30
GenWatt Diesel 10kW-E,GC1020-E,Net 30,30
GenWatt Propane 500kW-E,GC3040-E,Net 30,30
GenWatt Propane 100kW-E,GC3020-E,Net 30,30
GenWatt Propane 1500kW-E,GC3060-E,Net 30,30
GenWatt Gasoline 750kW-E,GC5040-E,Net 30,30
GenWatt Gasoline 300kW-E,GC5020-E,Net 30,30
GenWatt Gasoline 2000kW-E,GC5060-E,Net 30,30
